,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
136,9ef70132-1630-4429-a0de-3525912e5e97,Séverine Bodart,https://play-lh.googleusercontent.com/a/ACg8ocLLkHLn91gfN7csHVRQKBLDGHOJEOjA9SmxJd4RaoSh=mo,Super ! État comme dans le descriptif. Envoi rapide,5,0,24.10.1,2024-03-19 15:18:46,,,24.10.1
137,898bdf41-beff-43ca-937e-7cb7ea66b1c7,Stéphanie Docquir,https://play-lh.googleusercontent.com/a-/ALV-UjXbaFRDas-UuVejURTZsAyO5M0t_agcP1paRQDa7t9S1gw,"Application chouette sauf quand il y a un soucis, le service après vente est une véritable déception : aucune protection! J'ai commandé une veste de marque qui n'est pas repris dans leur programme de vérification et j'ai dû la renvoyer à mes frais alors qu'il s'agissait d'une contrefaçon. J'ai eu un article endommagé par le transporteur et Vinted remet la faute sur le vendeur. Manque de filtres : CO2 pour l'envoi, exclusion de certaines marques, localisation.",2,4,24.10.1,2024-03-19 15:18:04,,,24.10.1
138,2d4fe183-64b3-4adc-ae95-92752db9a9f4,Marcy Gaupillat,https://play-lh.googleusercontent.com/a/ACg8ocIoLKET0M9H9SdgSgcT9HF7Cay7CZvO0eK-5eeIGGsUQw=mo,En tout point conforme. Je suis très satisfaite.,5,0,24.10.1,2024-03-19 15:14:38,,,24.10.1
139,751d376c-7cd5-4299-84c8-1a05cedcc92d,Clamens Isabelle,https://play-lh.googleusercontent.com/a/ACg8ocJqMtfZRdr8-ACJin0zw6P778T9Io5SNs3A1J-fPD-S=mo,"Livraison très rapide. Vendeuse nickel, petit mot dans le colis, articles neufs.",5,0,24.10.1,2024-03-19 15:14:33,,,24.10.1
140,8fc23116-c8e6-4644-8411-76e254e4fedc,Joseph Ouefio,https://play-lh.googleusercontent.com/a/ACg8ocLSWGhwv7S8SOsKM29tElJPCZ3iSAB-FHHNxdweqBrf=mo,Satisfaction,5,0,24.10.1,2024-03-19 15:03:32,,,24.10.1
141,a64bd6cf-b53f-4882-ad84-a645005f14c9,Emilie Fouchard,https://play-lh.googleusercontent.com/a/ACg8ocJnZEvEDvTa-bTr0e9TkUBDmglpPDJ5wWWAwNGLETZo=mo,"Parfait, mille merci",5,0,24.10.1,2024-03-19 15:03:03,,,24.10.1
142,53cead13-b948-4c18-8204-fb4538458e98,Jacqueline Le Bervet,https://play-lh.googleusercontent.com/a/ACg8ocLK4PiLuXMXCtQVDN4_Q-FT_yIzzgPEhYwwtwfm624r=mo,Parfait,5,0,24.10.1,2024-03-19 14:56:32,,,24.10.1
143,f38b1798-ba8f-4a1c-869b-c7fd97d98c87,Alex Soubeyrand,https://play-lh.googleusercontent.com/a-/ALV-UjUHJmKbZ3nD8aquhlEcjbKTLhvD1uiGUTFqK3IrxyCGDbs,"Conforme aux photos, dommage que la doublure intérieure se détériore mais le sac et très bien je suis satisfaite",5,0,24.10.1,2024-03-19 14:50:23,,,24.10.1
144,ebf30e16-f503-454e-86d4-b37a4c33dc81,Byron Byron,https://play-lh.googleusercontent.com/a-/ALV-UjX77PcOciH703bwrrPUAGjozt5O32MT5-nMPGA7homh9ig,"Excellent,la meilleure application pour acheter et vendre , petit bémol il faudrais autorisé l'envoie de vidéo dans la messagerie",5,1,24.10.1,2024-03-19 14:49:11,,,24.10.1
145,197e2550-a4fd-49ed-ae40-5bdf7c302b5d,Giordan. Giordan,https://play-lh.googleusercontent.com/a/ACg8ocL7m3_aeRqrz0pg8tbK3TXuSfxY7JWhQ3H_NzHwcMGg=mo,Commande conforme,5,0,24.6.1,2024-03-19 14:48:13,,,24.6.1
